plocate 1.1.23-1
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.05.0-2
poppler-data 0.4.12-2
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
pwvucontrol 0.4.9-1
pwvucontrol-debug 0.4.9-1
python 3.13.3-1
python-autocommand 2.2.2-7
python-babel 2.17.0-1
python-breathe 4.36.0-1
python-cairo 1.28.0-1
python-charset-normalizer 3.4.2-1
python-docopt 0.6.2-14
python-docutils 1:0.21.2-3
python-gobject 3.52.3-3
python-idna 3.10-2
python-imagesize 1.4.1-6
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.6-1
python-keyutils 0.6-11
python-lxml 5.4.0-1
python-mako 1.3.10-1
python-markdown 3.8-1
python-markupsafe 3.0.2-1
python-more-itertools 10.7.0-1
python-packaging 25.0-1
python-platformdirs 4.3.6-2
python-pygments 2.19.1-1
python-pytz 2025.2-1
python-requests 2.32.3-4
python-roman-numerals-py 3.1.0-1
python-setuptools 1:80.9.0-1
python-snowballstemmer 2.2.0-7
python-sphinx 8.2.3-1
python-sphinx-alabaster-theme 1.0.0-4
python-sphinx_rtd_theme 2.0.0-2
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jquery 4.1-4
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-tqdm 4.67.1-2
python-urllib3 2.4.0-1
python-wheel 0.45.1-1
python-yaml 6.0.2-2
qemu-audio-alsa 10.0.0-5
qemu-audio-dbus 10.0.0-5
qemu-audio-jack 10.0.0-5
qemu-audio-oss 10.0.0-5
qemu-audio-pa 10.0.0-5
qemu-audio-pipewire 10.0.0-5
qemu-audio-sdl 10.0.0-5
qemu-audio-spice 10.0.0-5
qemu-base 10.0.0-5
qemu-block-curl 10.0.0-5
qemu-block-dmg 10.0.0-5
qemu-block-nfs 10.0.0-5
qemu-block-ssh 10.0.0-5
qemu-chardev-spice 10.0.0-5
qemu-common 10.0.0-5
qemu-desktop 10.0.0-5
qemu-hw-display-qxl 10.0.0-5
qemu-hw-display-virtio-gpu 10.0.0-5
qemu-hw-display-virtio-gpu-gl 10.0.0-5
qemu-hw-display-virtio-gpu-pci 10.0.0-5
qemu-hw-display-virtio-gpu-pci-gl 10.0.0-5
qemu-hw-display-virtio-gpu-pci-rutabaga 10.0.0-5
qemu-hw-display-virtio-gpu-rutabaga 10.0.0-5
qemu-hw-display-virtio-vga 10.0.0-5
qemu-hw-display-virtio-vga-gl 10.0.0-5
qemu-hw-display-virtio-vga-rutabaga 10.0.0-5
qemu-hw-uefi-vars 10.0.0-5
qemu-hw-usb-host 10.0.0-5
qemu-hw-usb-redirect 10.0.0-5
qemu-hw-usb-smartcard 10.0.0-5
qemu-img 10.0.0-5
qemu-system-x86 10.0.0-5
qemu-system-x86-firmware 10.0.0-5
qemu-ui-curses 10.0.0-5
